Player,Team,GAME_DATE,MATCHUP,Win/Loss,Minutes,2PTMade,2PTAttempted,2PT_%,3PTMade,3PT_Attempted,3PT_%,FreeThrowsMade,FreeThrowsAttempted,FreeThrow%,OffensiveRebounds,DefensiveRebounds,TotRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Points,+/-
Grayson Allen,Suns,2-Nov-23,PHX vs. SAS,L,33,6,10,60.00%,4,5,80.00%,0,0,0.00%,1,1,2,4,0,0,2,1,16,-10
Grayson Allen,Suns,31-Oct-23,PHX vs. SAS,L,37,5,9,55.60%,5,7,71.40%,4,4,100.00%,1,6,7,3,0,1,2,2,19,-12
Grayson Allen,Suns,28-Oct-23,PHX vs. UTA,W,31,6,10,60.00%,3,7,42.90%,2,2,100.00%,0,4,4,3,2,0,3,2,17,22
Grayson Allen,Suns,26-Oct-23,PHX @ LAL,L,35,2,6,33.30%,2,4,50.00%,0,0,0.00%,1,5,6,4,0,0,0,3,6,0
Grayson Allen,Suns,24-Oct-23,PHX @ GSW,W,21,0,6,0.00%,0,5,0.00%,0,0,0.00%,3,1,4,2,0,0,1,2,0,-4
Grayson Allen - Average,Average,,,,31.5,4.3,9.2,43.30%,2.7,5.6,43.70%,0.9,0.9,40.00%,1.2,4.1,5.3,2.9,0.5,0.4,1.8,2.5,12.2,-1.4
Jarrett Allen,Cavaliers,11-Nov-23,CLE @ GSW,W,28,2,6,33.30%,0,0,0.00%,8,9,88.90%,3,2,5,4,0,0,1,4,12,13
Jarrett Allen,Cavaliers,8-Nov-23,CLE @ OKC,L,26,4,6,66.70%,0,0,0.00%,6,9,66.70%,4,2,6,1,2,1,1,0,14,-4
Jarrett Allen,Cavaliers,5-Nov-23,CLE vs. GSW,W,28,5,7,71.40%,0,0,0.00%,2,2,100.00%,5,4,9,3,0,0,2,1,12,9
Jarrett Allen,Cavaliers,3-Nov-23,CLE @ IND,L,21,4,6,66.70%,0,0,0.00%,2,3,66.70%,2,5,7,0,1,2,1,4,10,-1
Jarrett Allen - Average,Average,,,,25.8,3.8,6.2,59.50%,0,0,0.00%,4.5,5.8,80.60%,3.5,3.2,6.8,2,0.8,0.8,1.2,2.2,12,4.2
Kyle Anderson,Timberwolves,12-Nov-23,MIN @ GSW,W,17,4,4,100.00%,0,0,0.00%,0,2,0.00%,0,4,4,1,1,0,3,1,8,-13
Kyle Anderson,Timberwolves,10-Nov-23,MIN @ SAS,W,26,2,2,100.00%,0,0,0.00%,2,4,50.00%,0,5,5,4,1,0,4,1,6,9
Kyle Anderson,Timberwolves,8-Nov-23,MIN vs. NOP,W,25,2,3,66.70%,1,2,50.00%,1,2,50.00%,0,2,2,5,1,2,2,2,6,16
Kyle Anderson,Timberwolves,6-Nov-23,MIN vs. BOS,W,25,1,6,16.70%,0,2,0.00%,1,2,50.00%,2,3,5,6,0,1,4,4,3,6
Kyle Anderson,Timberwolves,4-Nov-23,MIN vs. UTA,W,27,5,6,83.30%,0,0,0.00%,2,2,100.00%,1,2,3,6,1,2,0,3,12,11
Kyle Anderson,Timberwolves,1-Nov-23,MIN vs. DEN,W,25,4,6,66.70%,1,1,100.00%,0,0,0.00%,0,3,3,2,0,0,0,0,9,-1
Kyle Anderson,Timberwolves,30-Oct-23,MIN @ ATL,L,25,2,5,40.00%,0,2,0.00%,0,0,0.00%,1,1,2,5,2,1,2,1,4,-8
Kyle Anderson,Timberwolves,28-Oct-23,MIN vs. MIA,W,23,5,6,83.30%,0,0,0.00%,2,2,100.00%,0,2,2,4,2,0,2,1,12,7
Kyle Anderson,Timberwolves,25-Oct-23,MIN @ TOR,L,30,3,9,33.30%,0,1,0.00%,1,2,50.00%,2,7,9,5,2,0,1,0,7,15
Kyle Anderson - Average,Average,,,,24.8,3.1,5.2,65.60%,0.2,0.9,16.70%,1,1.8,44.40%,0.7,3.2,3.9,4.2,1.1,0.7,2,1.4,7.4,4.7
Giannis Antetokounmpo,Bucks,11-Nov-23,MIL @ ORL,L,37,15,22,68.20%,0,1,0.00%,5,12,41.70%,2,8,10,7,4,2,6,4,35,-11
Giannis Antetokounmpo,Bucks,9-Nov-23,MIL @ IND,L,36,19,25,76.00%,0,1,0.00%,16,18,88.90%,2,10,12,3,0,0,8,4,54,6
Giannis Antetokounmpo,Bucks,8-Nov-23,MIL vs. DET,W,22,6,16,37.50%,0,2,0.00%,3,6,50.00%,0,9,9,5,0,3,1,1,15,5
Giannis Antetokounmpo,Bucks,6-Nov-23,MIL @ BKN,W,35,15,27,55.60%,1,7,14.30%,5,6,83.30%,2,10,12,3,1,2,3,1,36,15
Giannis Antetokounmpo,Bucks,3-Nov-23,MIL vs. NYK,W,36,6,10,60.00%,3,3,100.00%,7,13,53.80%,1,7,8,6,0,1,7,3,22,13
Giannis Antetokounmpo,Bucks,1-Nov-23,MIL @ TOR,L,28,5,11,45.50%,0,0,0.00%,6,9,66.70%,3,1,4,2,1,0,3,3,16,-10
Giannis Antetokounmpo,Bucks,30-Oct-23,MIL vs. MIA,W,32,12,21,57.10%,1,3,33.30%,8,11,72.70%,1,6,7,2,0,1,2,3,33,18
Giannis Antetokounmpo,Bucks,29-Oct-23,MIL vs. ATL,L,29,9,14,64.30%,0,1,0.00%,8,10,80.00%,5,6,11,3,1,2,3,2,26,-11
Giannis Antetokounmpo,Bucks,26-Oct-23,MIL vs. PHI,W,35,10,21,47.60%,0,3,0.00%,3,9,33.30%,4,8,12,3,2,2,7,4,23,-13
Giannis Antetokounmpo - Average,Average,,,,32.2,10.8,18.6,56.90%,0.6,2.3,16.40%,6.8,10.4,63.40%,2.2,7.2,9.4,3.8,1,1.4,4.4,2.8,28.9,1.3
Thanasis Antetokounmpo,Bucks,11-Nov-23,MIL @ ORL,L,10,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,2,0,1,1,2,0,6
Thanasis Antetokounmpo,Bucks,1-Nov-23,MIL @ TOR,L,4,0,1,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,4
Thanasis Antetokounmpo,Bucks,29-Oct-23,MIL vs. ATL,L,8,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,2,1,0,3,2,2,14
Thanasis Antetokounmpo - Average,Average,,,,7.3,0.3,0.7,33.30%,0,0,0.00%,0,0,0.00%,0,0,0,1.3,0.3,0.3,1.3,1.3,0.7,8
Cole Anthony,Magic,11-Nov-23,ORL vs. MIL,W,14,0,3,0.00%,0,1,0.00%,4,4,100.00%,0,2,2,3,1,0,3,2,4,14
Cole Anthony,Magic,9-Nov-23,ORL vs. ATL,L,23,1,7,14.30%,0,4,0.00%,5,6,83.30%,1,1,2,2,0,0,3,3,7,-3
Cole Anthony,Magic,6-Nov-23,ORL vs. DAL,L,30,7,13,53.80%,2,5,40.00%,3,5,60.00%,0,2,2,5,1,2,3,3,19,-14
Cole Anthony,Magic,4-Nov-23,ORL vs. LAL,W,23,4,9,44.40%,3,5,60.00%,3,3,100.00%,3,2,5,1,0,0,3,1,14,-6
Cole Anthony,Magic,2-Nov-23,ORL @ UTA,W,31,5,10,50.00%,2,4,50.00%,6,6,100.00%,0,7,7,7,2,0,3,3,18,-7
Cole Anthony,Magic,31-Oct-23,ORL @ LAC,L,18,3,6,50.00%,0,2,0.00%,4,6,66.70%,0,2,2,1,0,0,1,3,10,-18
Cole Anthony,Magic,30-Oct-23,ORL @ LAL,L,21,4,12,33.30%,1,3,33.30%,3,4,75.00%,0,3,3,2,3,0,1,2,12,-9
Cole Anthony,Magic,27-Oct-23,ORL @ POR,W,28,6,15,40.00%,3,7,42.90%,3,6,50.00%,1,3,4,2,0,1,1,3,18,-9
Cole Anthony,Magic,25-Oct-23,ORL vs. HOU,W,24,8,12,66.70%,1,2,50.00%,3,3,100.00%,1,7,8,2,0,0,0,2,20,17
Cole Anthony - Average,Average,,,,23.6,4.2,9.7,39.20%,1.3,3.7,30.70%,3.8,4.8,81.70%,0.7,3.2,3.9,2.8,0.8,0.3,2,2.4,13.6,-3.9
OG Anunoby,Raptors,11-Nov-23,TOR @ BOS,L,28,3,13,23.10%,2,8,25.00%,0,0,0.00%,1,2,3,2,1,0,0,0,8,-26
OG Anunoby,Raptors,8-Nov-23,TOR @ DAL,W,36,9,17,52.90%,3,8,37.50%,5,6,83.30%,1,4,5,2,0,0,2,4,26,9
OG Anunoby,Raptors,5-Nov-23,TOR @ SAS,W,38,8,16,50.00%,7,13,53.80%,1,4,25.00%,2,4,6,4,2,0,1,3,24,8
OG Anunoby,Raptors,2-Nov-23,TOR @ PHI,L,33,7,12,58.30%,2,4,50.00%,0,0,0.00%,1,3,4,1,0,1,3,2,16,5
OG Anunoby,Raptors,1-Nov-23,TOR vs. MIL,W,25,7,7,100.00%,1,1,100.00%,1,2,50.00%,0,2,2,3,1,0,2,5,16,16
OG Anunoby,Raptors,30-Oct-23,TOR vs. POR,L,30,4,12,33.30%,2,9,22.20%,0,0,0.00%,0,3,3,1,2,1,2,0,10,0
OG Anunoby,Raptors,27-Oct-23,TOR @ CHI,L,28,5,8,62.50%,1,4,25.00%,0,1,0.00%,0,3,3,0,2,0,1,2,11,28
OG Anunoby,Raptors,25-Oct-23,TOR vs. MIN,W,34,7,13,53.80%,4,9,44.40%,2,2,100.00%,0,6,6,1,2,3,2,2,20,6
OG Anunoby - Average,Average,,,,31.5,6.2,12.2,54.20%,2.8,7,44.70%,1.1,1.9,32.30%,0.6,3.4,4,1.8,1.2,0.6,1.6,2.2,16.4,5.8
Ryan Arcidiacono,Knicks,12-Nov-23,NYK vs. CHA,W,3,0,1,0.00%,0,1,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,-4
Ryan Arcidiacono,Knicks,8-Nov-23,NYK vs. SAS,W,2,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,-2
Ryan Arcidiacono,Knicks,31-Oct-23,NYK @ CLE,W,2,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,1,1,0,0,0,0,0,0,1
Ryan Arcidiacono - Average,Average,,,,2.3,0,0.3,0.00%,0,0.3,0.00%,0,0,0.00%,0,0.3,0.3,0,0,0,0,0,0,-1.7
Deni Avdija,Wizards,12-Nov-23,WAS @ BKN,L,38,6,18,33.30%,1,8,12.50%,1,2,50.00%,2,7,9,3,3,0,2,2,14,-1
Deni Avdija,Wizards,10-Nov-23,WAS vs. CHA,L,31,5,9,55.60%,1,4,25.00%,0,0,0.00%,1,5,6,5,1,1,3,2,11,9
Deni Avdija,Wizards,8-Nov-23,WAS @ CHA,W,28,3,10,30.00%,0,1,0.00%,3,3,100.00%,1,2,3,5,0,1,1,4,9,-5
Deni Avdija,Wizards,6-Nov-23,WAS @ PHI,L,28,5,8,62.50%,2,4,50.00%,4,4,100.00%,1,4,5,6,1,0,1,1,16,-11
Deni Avdija,Wizards,3-Nov-23,WAS @ MIA,L,24,6,8,75.00%,1,2,50.00%,1,2,50.00%,0,4,4,3,0,0,2,1,14,-14
Deni Avdija,Wizards,1-Nov-23,WAS @ ATL,L,24,10,16,62.50%,2,4,50.00%,0,1,0.00%,3,2,5,3,2,1,1,5,22,3
Deni Avdija,Wizards,30-Oct-23,WAS vs. BOS,L,22,4,10,40.00%,1,3,33.30%,2,2,100.00%,2,5,7,1,1,0,0,4,11,-26
Deni Avdija,Wizards,28-Oct-23,WAS vs. MEM,W,27,4,8,50.00%,2,3,66.70%,0,0,0.00%,2,4,6,2,2,0,1,2,10,9
Deni Avdija,Wizards,25-Oct-23,WAS @ IND,L,21,4,8,50.00%,0,0,0.00%,1,2,50.00%,2,5,7,5,1,0,2,0,9,-15
Deni Avdija - Average,Average,,,,27,5.2,10.6,51.00%,1.1,3.2,31.90%,1.3,1.8,50.00%,1.6,4.2,5.8,3.7,1.2,0.3,1.4,2.3,12.9,-5.7
Deandre Ayton,Trail Blazers,12-Nov-23,POR @ LAL,L,34,6,10,60.00%,0,0,0.00%,0,0,0.00%,0,7,7,0,0,2,2,2,12,-17
Deandre Ayton,Trail Blazers,8-Nov-23,POR @ SAC,L,41,9,14,64.30%,0,0,0.00%,0,0,0.00%,1,9,10,2,0,0,2,5,18,7
