Player,Position,Age,Team,Games,GamesStarted,MinutesPlayed,FieldGoals,FieldGoalsAttempted,FieldGoalPercentage,ThreePointers,ThreePointersAttempted,ThreePointPercentage,TwoPointers,TwoPointersAttempted,TwoPointersPercentage,EffectiveFieldGoalPercentage,FreeThrows,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Points
Jake LaRavia,PF,22,MEM,5,0,12.2,1.4,4.0,.350,0.4,2.4,.167,1.0,1.6,.625,.400,0.2,0.4,.500,0.6,1.0,1.6,0.4,0.2,0.0,0.4,1.6,3.4
Zach LaVine,SG,28,CHI,9,9,34.8,7.6,17.8,.425,2.4,7.2,.338,5.1,10.6,.484,.494,4.9,5.8,.846,0.4,4.2,4.7,2.9,0.8,0.2,2.4,2.2,22.4
Saben Lee,PG,24,PHO,3,0,3.3,1.0,2.0,.500,0.0,0.3,.000,1.0,1.7,.600,.500,0.0,0.0,,0.7,0.3,1.0,1.0,0.0,0.3,0.0,0.3,2.0
Alex Len,C,30,SAC,5,0,7.0,1.0,1.2,.833,0.0,0.2,.000,1.0,1.0,1.000,.833,0.6,1.4,.429,1.4,1.8,3.2,0.4,0.2,1.0,0.4,0.4,2.6
Kawhi Leonard,SF,32,LAC,8,8,33.0,8.3,17.3,.478,2.8,6.5,.423,5.5,10.8,.512,.558,2.8,3.5,.786,1.3,4.4,5.6,4.0,1.4,0.3,1.8,1.6,22.0
Caris LeVert,SG,29,CLE,7,1,33.4,6.3,15.3,.411,2.1,6.3,.341,4.1,9.0,.460,.481,3.6,5.0,.714,0.3,4.1,4.4,4.4,0.9,0.4,1.6,2.0,18.3
Kira Lewis Jr.,PG,22,NOP,8,0,13.1,1.3,4.3,.294,0.1,1.6,.077,1.1,2.6,.429,.309,0.9,1.0,.875,0.3,0.9,1.1,1.5,0.5,0.1,0.5,0.9,3.5
Maxwell Lewis,SF,21,LAL,3,0,4.3,0.0,0.7,.000,0.0,0.0,,0.0,0.7,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0,0.0
E.J. Liddell,PF,23,NOP,3,0,3.0,0.3,1.3,.250,0.0,1.0,.000,0.3,0.3,1.000,.250,0.7,0.7,1.000,0.0,0.7,0.7,0.0,0.0,0.3,0.3,0.3,1.3
Damian Lillard,PG,33,MIL,7,7,33.7,6.3,15.7,.400,2.4,8.3,.293,3.9,7.4,.519,.477,9.3,10.0,.929,0.6,3.9,4.4,4.7,1.1,0.1,2.6,1.3,24.3
Nassir Little,PF,23,PHO,5,0,11.6,1.2,2.8,.429,0.6,2.0,.300,0.6,0.8,.750,.536,0.8,0.8,1.000,0.2,1.2,1.4,0.2,1.0,0.2,0.4,1.6,3.8
Dereck Lively II,C,19,DAL,8,7,24.3,3.9,5.5,.705,0.0,0.1,.000,3.9,5.4,.721,.705,0.9,1.6,.538,2.8,4.5,7.3,1.1,0.6,1.0,1.0,3.6,8.6
Chris Livingston,SF,20,MIL,1,0,6.0,2.0,2.0,1.000,1.0,1.0,1.000,1.0,1.0,1.000,1.250,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
Kenneth Lofton Jr.,PF,21,MEM,6,0,9.0,1.2,2.7,.438,0.3,0.7,.500,0.8,2.0,.417,.500,0.5,1.7,.300,0.3,1.2,1.5,1.2,0.3,0.3,0.5,1.8,3.2
Kevon Looney,C,27,GSW,9,9,23.6,2.9,4.2,.684,0.0,0.0,,2.9,4.2,.684,.684,0.9,1.1,.800,2.7,6.0,8.7,3.2,0.9,0.6,1.2,2.8,6.7
Brook Lopez,C,35,MIL,8,8,26.6,3.5,8.9,.394,1.8,5.0,.350,1.8,3.9,.452,.493,0.8,0.9,.857,1.4,2.9,4.3,0.8,0.9,2.1,1.0,2.3,9.5
Robin Lopez,C,35,MIL,1,0,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.000,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
Kevin Love,PF,35,MIA,3,3,22.0,2.7,7.3,.364,2.0,5.0,.400,0.7,2.3,.286,.500,1.0,1.3,.750,1.3,6.7,8.0,2.3,0.3,0.0,1.0,2.3,8.3
Kyle Lowry,PG,37,MIA,8,8,30.8,2.4,5.8,.413,1.8,4.4,.400,0.6,1.4,.455,.565,0.4,0.4,1.000,1.1,3.8,4.9,5.3,1.4,0.4,1.9,2.8,6.9
Théo Maledon,PG,22,CHO,8,0,17.5,2.1,5.9,.362,0.4,2.5,.150,1.8,3.4,.519,.394,1.1,1.3,.900,0.3,2.0,2.3,2.0,0.9,0.0,1.3,1.6,5.8
Sandro Mamukelashvili,C,24,SAS,3,0,6.3,0.7,1.7,.400,0.0,1.0,.000,0.7,0.7,1.000,.400,0.3,0.7,.500,1.3,1.0,2.3,0.3,0.3,0.0,0.0,0.7,1.7
Terance Mann,SG,27,LAC,2,0,24.0,2.5,5.0,.500,0.5,2.5,.200,2.0,2.5,.800,.550,0.0,0.0,,1.5,3.5,5.0,2.0,0.0,0.0,1.0,2.5,5.5
Tre Mann,PG,22,OKC,3,0,4.0,1.7,2.3,.714,0.3,0.7,.500,1.3,1.7,.800,.786,0.3,0.3,1.000,0.3,1.0,1.3,0.7,0.0,0.0,0.3,0.0,4.0
Boban Marjanović,C,35,HOU,3,0,6.7,1.7,3.0,.556,0.0,0.3,.000,1.7,2.7,.625,.556,0.0,0.3,.000,0.7,2.0,2.7,1.0,0.0,0.3,0.0,0.7,3.3
Lauri Markkanen,PF,26,UTA,10,10,33.5,8.1,16.7,.485,4.1,9.2,.446,4.0,7.5,.533,.608,3.9,4.4,.886,2.4,6.2,8.6,1.6,0.9,0.8,1.7,2.5,24.2
Caleb Martin,SF,28,MIA,1,0,20.0,1.0,7.0,.143,0.0,3.0,.000,1.0,4.0,.250,.143,0.0,0.0,,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0
KJ Martin,SF,23,TOT,5,0,7.8,0.8,2.2,.364,0.2,1.0,.200,0.6,1.2,.500,.409,0.2,0.4,.500,0.2,0.6,0.8,0.4,0.4,0.2,0.6,1.0,2.0
Garrison Mathews,SG,27,ATL,2,0,4.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0
Bennedict Mathurin,SF,21,IND,9,9,25.6,5.1,11.7,.438,1.3,4.0,.333,3.8,7.7,.493,.495,2.3,2.9,.808,1.8,2.7,4.4,2.7,0.9,0.1,1.4,1.4,13.9
Tyrese Maxey,PG,23,PHI,8,8,37.8,9.1,19.0,.480,3.0,7.6,.393,6.1,11.4,.538,.559,4.6,5.0,.925,0.6,4.6,5.3,7.5,1.1,0.8,1.0,1.9,25.9
Skylar Mays,PG,26,POR,7,0,14.3,2.4,6.1,.395,0.4,2.3,.188,2.0,3.9,.519,.430,0.9,0.9,1.000,0.1,0.6,0.7,2.7,0.9,0.0,0.9,1.0,6.1
