SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,Player,Team
22023,1627759,0022300136,4-Nov-23,BOS @ BKN,W,35,7,22,0.318,2,11,0.182,7,8,0.875,0,5,5,4,0,1,2,4,23,6,Jaylen Brown,Celtics
22023,1627759,0022300118,1-Nov-23,BOS vs. IND,W,25,7,15,0.467,0,1,0,2,2,1,1,6,7,1,0,0,2,3,16,22,Jaylen Brown,Celtics
22023,1627759,0022300103,30-Oct-23,BOS @ WAS,W,32,13,24,0.542,8,13,0.615,2,4,0.5,0,6,6,2,3,1,0,3,36,32,Jaylen Brown,Celtics
22023,1627759,0022300080,27-Oct-23,BOS vs. MIA,W,34,11,22,0.5,3,7,0.429,2,4,0.5,2,4,6,1,2,0,4,1,27,3,Jaylen Brown,Celtics
22023,1627759,0022300065,25-Oct-23,BOS @ NYK,W,38,4,11,0.364,0,4,0,3,4,0.75,0,6,6,5,1,0,2,5,11,8,Jaylen Brown,Celtics
22023,1641738,0022300014,10-Nov-23,LAC @ DAL,L,13,3,4,0.75,1,1,1,0,0,0,1,0,1,0,0,0,1,2,7,10,Kobe Brown,Clippers
22023,1641738,0022300151,6-Nov-23,LAC @ NYK,L,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Kobe Brown,Clippers
22023,1641738,0022300127,1-Nov-23,LAC @ LAL,L,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,Kobe Brown,Clippers
22023,1641738,0022300114,31-Oct-23,LAC vs. ORL,W,19,3,4,0.75,1,2,0.5,0,0,0,1,2,3,1,0,1,0,4,7,11,Kobe Brown,Clippers
22023,1641738,0022300099,29-Oct-23,LAC vs. SAS,W,5,1,2,0.5,1,2,0.5,0,0,0,0,4,4,1,1,0,0,1,3,10,Kobe Brown,Clippers
