Player,Team,GAME_DATE,MATCHUP,Win/Loss,Minutes,2PTMade,2PTAttempted,2PT_%,3PTMade,3PT_Attempted,3PT_%,FreeThrowsMade,FreeThrowsAttempted,FreeThrow%,OffensiveRebounds,DefensiveRebounds,TotRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Points,+/-
Grayson Allen,Suns,"OCT 31, 2023",PHX vs. SAS,L,37.0,5.0,9.0,55.6%,5.0,7.0,71.4%,4.0,4.0,100.0%,1.0,6.0,7.0,3.0,0.0,1.0,2.0,2.0,19.0,-12.0
Grayson Allen,Suns,"OCT 28, 2023",PHX vs. UTA,W,31.0,6.0,10.0,60.0%,3.0,7.0,42.9%,2.0,2.0,100.0%,0.0,4.0,4.0,3.0,2.0,0.0,3.0,2.0,17.0,22.0
Grayson Allen,Suns,"OCT 26, 2023",PHX @ LAL,L,35.0,2.0,6.0,33.3%,2.0,4.0,50.0%,0.0,0.0,0.0%,1.0,5.0,6.0,4.0,0.0,0.0,0.0,3.0,6.0,0.0
Grayson Allen,Suns,"OCT 24, 2023",PHX @ GSW,W,21.0,0.0,6.0,0.0%,0.0,5.0,0.0%,0.0,0.0,0.0%,3.0,1.0,4.0,2.0,0.0,0.0,1.0,2.0,0.0,-4.0
Grayson Allen - Average,Average,,,,31.5,4.3,9.2,,2.7,5.6,,0.9,0.9,,1.2,4.1,5.3,2.9,0.5,0.4,1.8,2.5,12.2,-1.4
Jarrett Allen,Cavaliers,"NOV 11, 2023",CLE @ GSW,W,28.0,2.0,6.0,33.3%,0.0,0.0,0.0%,8.0,9.0,88.9%,3.0,2.0,5.0,4.0,0.0,0.0,1.0,4.0,12.0,13.0
Jarrett Allen,Cavaliers,"NOV 08, 2023",CLE @ OKC,L,26.0,4.0,6.0,66.7%,0.0,0.0,0.0%,6.0,9.0,66.7%,4.0,2.0,6.0,1.0,2.0,1.0,1.0,0.0,14.0,-4.0
Jarrett Allen,Cavaliers,"NOV 05, 2023",CLE vs. GSW,W,28.0,5.0,7.0,71.4%,0.0,0.0,0.0%,2.0,2.0,100.0%,5.0,4.0,9.0,3.0,0.0,0.0,2.0,1.0,12.0,9.0
Jarrett Allen,Cavaliers,"NOV 03, 2023",CLE @ IND,L,21.0,4.0,6.0,66.7%,0.0,0.0,0.0%,2.0,3.0,66.7%,2.0,5.0,7.0,0.0,1.0,2.0,1.0,4.0,10.0,-1.0
Jarrett Allen - Average,Average,,,,25.75,3.75,6.25,,0.0,0.0,,4.5,5.75,,3.5,3.25,6.75,2.0,0.75,0.75,1.25,2.25,12.0,4.25
Kyle Anderson,Timberwolves,"NOV 12, 2023",MIN @ GSW,W,17.0,4.0,4.0,100.0%,0.0,0.0,0.0%,0.0,2.0,0.0%,0.0,4.0,4.0,1.0,1.0,0.0,3.0,1.0,8.0,-8.0
Kyle Anderson,Timberwolves,"NOV 10, 2023",MIN @ SAS,W,26.0,2.0,2.0,100.0%,0.0,0.0,0.0%,2.0,4.0,50.0%,0.0,5.0,5.0,4.0,1.0,0.0,4.0,1.0,6.0,9.0
Kyle Anderson,Timberwolves,"NOV 08, 2023",MIN vs. NOP,W,25.0,2.0,3.0,66.7%,1.0,2.0,50.0%,1.0,2.0,50.0%,0.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,6.0,16.0
Kyle Anderson,Timberwolves,"NOV 06, 2023",MIN vs. BOS,W,25.0,1.0,6.0,16.7%,0.0,2.0,0.0%,1.0,2.0,50.0%,2.0,3.0,5.0,6.0,0.0,1.0,4.0,4.0,3.0,6.0
Kyle Anderson,Timberwolves,"NOV 04, 2023",MIN vs. UTA,W,27.0,5.0,6.0,83.3%,0.0,0.0,0.0%,2.0,2.0,100.0%,1.0,2.0,3.0,6.0,1.0,2.0,0.0,3.0,12.0,11.0
Kyle Anderson,Timberwolves,"NOV 01, 2023",MIN vs. DEN,W,25.0,4.0,6.0,66.7%,1.0,1.0,100.0%,0.0,0.0,0.0%,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,9.0,-1.0
Kyle Anderson,Timberwolves,"OCT 30, 2023",MIN @ ATL,L,25.0,2.0,5.0,40.0%,0.0,2.0,0.0%,0.0,0.0,0.0%,1.0,1.0,2.0,5.0,2.0,1.0,2.0,1.0,4.0,-8.0
Kyle Anderson,Timberwolves,"OCT 28, 2023",MIN vs. MIA,W,23.0,5.0,6.0,83.3%,0.0,0.0,0.0%,2.0,2.0,100.0%,0.0,2.0,2.0,4.0,2.0,0.0,2.0,1.0,12.0,7.0
Kyle Anderson,Timberwolves,"OCT 25, 2023",MIN @ TOR,L,30.0,3.0,9.0,33.3%,0.0,1.0,0.0%,1.0,2.0,50.0%,2.0,7.0,9.0,5.0,2.0,0.0,1.0,0.0,7.0,15.0
Kyle Anderson - Average,Average,,,,24.77777777777778,3.111111111111111,5.222222222222222,,0.2222222222222222,0.8888888888888888,,1.0,1.7777777777777777,,0.6666666666666666,3.2222222222222223,3.888888888888889,4.222222222222222,1.1111111111111112,0.6666666666666666,2.0,1.4444444444444444,7.444444444444445,5.222222222222222
Giannis Antetokounmpo,Bucks,"NOV 11, 2023",MIL @ ORL,L,37.0,15.0,22.0,68.2%,0.0,1.0,0.0%,5.0,12.0,41.7%,2.0,8.0,10.0,7.0,4.0,2.0,6.0,4.0,35.0,-11.0
Giannis Antetokounmpo,Bucks,"NOV 09, 2023",MIL @ IND,L,36.0,19.0,25.0,76.0%,0.0,1.0,0.0%,16.0,18.0,88.9%,2.0,10.0,12.0,3.0,0.0,0.0,8.0,4.0,54.0,6.0
Giannis Antetokounmpo,Bucks,"NOV 08, 2023",MIL vs. DET,W,22.0,6.0,16.0,37.5%,0.0,2.0,0.0%,3.0,6.0,50.0%,0.0,9.0,9.0,5.0,0.0,3.0,1.0,1.0,15.0,5.0
Giannis Antetokounmpo,Bucks,"NOV 06, 2023",MIL @ BKN,W,35.0,15.0,27.0,55.6%,1.0,7.0,14.3%,5.0,6.0,83.3%,2.0,10.0,12.0,3.0,1.0,2.0,3.0,1.0,36.0,15.0
Giannis Antetokounmpo,Bucks,"NOV 03, 2023",MIL vs. NYK,W,36.0,6.0,10.0,60.0%,3.0,3.0,100.0%,7.0,13.0,53.8%,1.0,7.0,8.0,6.0,0.0,1.0,7.0,3.0,22.0,13.0
Giannis Antetokounmpo,Bucks,"NOV 01, 2023",MIL @ TOR,L,28.0,5.0,11.0,45.5%,0.0,0.0,0.0%,6.0,9.0,66.7%,3.0,1.0,4.0,2.0,1.0,0.0,3.0,3.0,16.0,-10.0
Giannis Antetokounmpo,Bucks,"OCT 30, 2023",MIL vs. MIA,W,32.0,12.0,21.0,57.1%,1.0,3.0,33.3%,8.0,11.0,72.7%,1.0,6.0,7.0,2.0,0.0,1.0,2.0,3.0,33.0,18.0
Giannis Antetokounmpo,Bucks,"OCT 29, 2023",MIL vs. ATL,L,29.0,9.0,14.0,64.3%,0.0,1.0,0.0%,8.0,10.0,80.0%,5.0,6.0,11.0,3.0,1.0,2.0,3.0,2.0,26.0,-11.0
Giannis Antetokounmpo,Bucks,"OCT 26, 2023",MIL vs. PHI,W,35.0,10.0,21.0,47.6%,0.0,3.0,0.0%,3.0,9.0,33.3%,4.0,8.0,12.0,3.0,2.0,2.0,7.0,4.0,23.0,-13.0
Giannis Antetokounmpo - Average,Average,,,,32.22222222222222,10.777777777777779,18.555555555555557,,0.5555555555555556,2.3333333333333335,,6.777777777777778,10.444444444444445,,2.2222222222222223,7.222222222222222,9.444444444444445,3.7777777777777777,1.0,1.4444444444444444,4.444444444444445,2.7777777777777777,28.88888888888889,1.3333333333333333
Thanasis Antetokounmpo,Bucks,"NOV 11, 2023",MIL @ ORL,L,10.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,6.0
Thanasis Antetokounmpo,Bucks,"NOV 01, 2023",MIL @ TOR,L,4.0,0.0,1.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Thanasis Antetokounmpo,Bucks,"OCT 29, 2023",MIL vs. ATL,L,8.0,1.0,1.0,100.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,2.0,14.0
Thanasis Antetokounmpo - Average,Average,,,,7.333333333333333,0.3333333333333333,0.6666666666666666,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,8.0
Cole Anthony,Magic,"NOV 11, 2023",ORL vs. MIL,W,14.0,0.0,3.0,0.0%,0.0,1.0,0.0%,4.0,4.0,100.0%,0.0,2.0,2.0,3.0,1.0,0.0,3.0,2.0,4.0,14.0
Cole Anthony,Magic,"NOV 09, 2023",ORL vs. ATL,L,23.0,1.0,7.0,14.3%,0.0,4.0,0.0%,5.0,6.0,83.3%,1.0,1.0,2.0,2.0,0.0,0.0,3.0,3.0,7.0,-3.0
Cole Anthony,Magic,"NOV 06, 2023",ORL vs. DAL,L,30.0,7.0,13.0,53.8%,2.0,5.0,40.0%,3.0,5.0,60.0%,0.0,2.0,2.0,5.0,1.0,2.0,3.0,3.0,19.0,-14.0
Cole Anthony,Magic,"NOV 04, 2023",ORL vs. LAL,W,23.0,4.0,9.0,44.4%,3.0,5.0,60.0%,3.0,3.0,100.0%,3.0,2.0,5.0,1.0,0.0,0.0,3.0,1.0,14.0,-6.0
Cole Anthony,Magic,"NOV 02, 2023",ORL @ UTA,W,31.0,5.0,10.0,50.0%,2.0,4.0,50.0%,6.0,6.0,100.0%,0.0,7.0,7.0,7.0,2.0,0.0,3.0,3.0,18.0,-7.0
Cole Anthony,Magic,"OCT 31, 2023",ORL @ LAC,L,18.0,3.0,6.0,50.0%,0.0,2.0,0.0%,4.0,6.0,66.7%,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,10.0,-18.0
