Player,Team,GAME_DATE,MATCHUP,Win/Loss,Minutes,2PTMade,2PTAttempted,2PT_%,3PTMade,3PT_Attempted,3PT_%,FreeThrowsMade,FreeThrowsAttempted,FreeThrow%,OffensiveRebounds,DefensiveRebounds,TotRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Points,+/-
Nickeil Alexander-Walker - Average,Average,,,,19.7,1.8,4.7,34.3%,0.9,2.8,34.2%,0.2,0.6,10.0%,0.1,1.9,2.0,2.6,0.9,0.8,1.0,1.5,4.7,-2.0
Grayson Allen,Suns,"NOV 12, 2023",PHX vs. OKC,L,32,2,8,25.0%,1,3,33.3%,2,2,100.0%,2,4,6,1,1,1,2,2,7,-19
Grayson Allen,Suns,"NOV 10, 2023",PHX vs. LAL,L,32,4,8,50.0%,1,4,25.0%,0,0,0.0%,2,7,9,4,1,0,2,6,9,-5
Grayson Allen,Suns,"NOV 08, 2023",PHX @ CHI,W,37,9,16,56.3%,8,13,61.5%,0,0,0.0%,0,8,8,4,1,2,1,3,26,8
Grayson Allen,Suns,"NOV 05, 2023",PHX @ DET,W,30,6,12,50.0%,1,3,33.3%,1,1,100.0%,1,3,4,2,0,0,4,1,14,6
Grayson Allen,Suns,"NOV 04, 2023",PHX @ PHI,L,27,3,7,42.9%,2,5,40.0%,0,0,0.0%,1,2,3,2,0,0,1,3,8,0
Grayson Allen,Suns,"NOV 02, 2023",PHX vs. SAS,L,33,6,10,60.0%,4,5,80.0%,0,0,0.0%,1,1,2,4,0,0,2,1,16,-10
Grayson Allen,Suns,"OCT 31, 2023",PHX vs. SAS,L,37,5,9,55.6%,5,7,71.4%,4,4,100.0%,1,6,7,3,0,1,2,2,19,-12
Grayson Allen,Suns,"OCT 28, 2023",PHX vs. UTA,W,31,6,10,60.0%,3,7,42.9%,2,2,100.0%,0,4,4,3,2,0,3,2,17,22
Grayson Allen,Suns,"OCT 26, 2023",PHX @ LAL,L,35,2,6,33.3%,2,4,50.0%,0,0,0.0%,1,5,6,4,0,0,0,3,6,0
Grayson Allen,Suns,"OCT 24, 2023",PHX @ GSW,W,21,0,6,0.0%,0,5,0.0%,0,0,0.0%,3,1,4,2,0,0,1,2,0,-4
Grayson Allen - Average,Average,,,,31.5,4.3,9.2,43.3%,2.7,5.6,43.7%,0.9,0.9,40.0%,1.2,4.1,5.3,2.9,0.5,0.4,1.8,2.5,12.2,-1.4
Jarrett Allen,Cavaliers,"NOV 13, 2023",CLE @ SAC,L,22,5,6,83.3%,0,0,0.0%,2,3,66.7%,4,5,9,1,0,0,2,2,12,-25
Jarrett Allen,Cavaliers,"NOV 11, 2023",CLE @ GSW,W,28,2,6,33.3%,0,0,0.0%,8,9,88.9%,3,2,5,4,0,0,1,4,12,13
Jarrett Allen,Cavaliers,"NOV 08, 2023",CLE @ OKC,L,26,4,6,66.7%,0,0,0.0%,6,9,66.7%,4,2,6,1,2,1,1,0,14,-4
Jarrett Allen,Cavaliers,"NOV 05, 2023",CLE vs. GSW,W,28,5,7,71.4%,0,0,0.0%,2,2,100.0%,5,4,9,3,0,0,2,1,12,9
Jarrett Allen,Cavaliers,"NOV 03, 2023",CLE @ IND,L,21,4,6,66.7%,0,0,0.0%,2,3,66.7%,2,5,7,0,1,2,1,4,10,-1
Jarrett Allen - Average,Average,,,,25.0,4.0,6.2,64.3%,0.0,0.0,0.0%,4.0,5.2,77.8%,3.6,3.6,7.2,1.8,0.6,0.6,1.4,2.2,12.0,-1.6
Kyle Anderson,Timberwolves,"NOV 14, 2023",MIN @ GSW,W,27,3,9,33.3%,0,2,0.0%,2,2,100.0%,1,3,4,3,0,1,2,4,8,11
Kyle Anderson,Timberwolves,"NOV 12, 2023",MIN @ GSW,W,17,4,4,100.0%,0,0,0.0%,0,2,0.0%,0,4,4,1,1,0,3,1,8,-13
Kyle Anderson,Timberwolves,"NOV 10, 2023",MIN @ SAS,W,26,2,2,100.0%,0,0,0.0%,2,4,50.0%,0,5,5,4,1,0,4,1,6,9
Kyle Anderson,Timberwolves,"NOV 08, 2023",MIN vs. NOP,W,25,2,3,66.7%,1,2,50.0%,1,2,50.0%,0,2,2,5,1,2,2,2,6,16
Kyle Anderson,Timberwolves,"NOV 06, 2023",MIN vs. BOS,W,25,1,6,16.7%,0,2,0.0%,1,2,50.0%,2,3,5,6,0,1,4,4,3,6
Kyle Anderson,Timberwolves,"NOV 04, 2023",MIN vs. UTA,W,27,5,6,83.3%,0,0,0.0%,2,2,100.0%,1,2,3,6,1,2,0,3,12,11
Kyle Anderson,Timberwolves,"NOV 01, 2023",MIN vs. DEN,W,25,4,6,66.7%,1,1,100.0%,0,0,0.0%,0,3,3,2,0,0,0,0,9,-1
Kyle Anderson,Timberwolves,"OCT 30, 2023",MIN @ ATL,L,25,2,5,40.0%,0,2,0.0%,0,0,0.0%,1,1,2,5,2,1,2,1,4,-8
Kyle Anderson,Timberwolves,"OCT 28, 2023",MIN vs. MIA,W,23,5,6,83.3%,0,0,0.0%,2,2,100.0%,0,2,2,4,2,0,2,1,12,7
Kyle Anderson,Timberwolves,"OCT 25, 2023",MIN @ TOR,L,30,3,9,33.3%,0,1,0.0%,1,2,50.0%,2,7,9,5,2,0,1,0,7,15
Kyle Anderson - Average,Average,,,,25.0,3.1,5.6,62.3%,0.2,1.0,15.0%,1.1,1.8,50.0%,0.7,3.2,3.9,4.1,1.0,0.7,2.0,1.7,7.5,5.3
Giannis Antetokounmpo,Bucks,"NOV 13, 2023",MIL vs. CHI,W,35,13,22,59.1%,1,3,33.3%,8,14,57.1%,3,8,11,2,0,0,3,4,35,13
Giannis Antetokounmpo,Bucks,"NOV 11, 2023",MIL @ ORL,L,37,15,22,68.2%,0,1,0.0%,5,12,41.7%,2,8,10,7,4,2,6,4,35,-11
Giannis Antetokounmpo,Bucks,"NOV 09, 2023",MIL @ IND,L,36,19,25,76.0%,0,1,0.0%,16,18,88.9%,2,10,12,3,0,0,8,4,54,6
Giannis Antetokounmpo,Bucks,"NOV 08, 2023",MIL vs. DET,W,22,6,16,37.5%,0,2,0.0%,3,6,50.0%,0,9,9,5,0,3,1,1,15,5
Giannis Antetokounmpo,Bucks,"NOV 06, 2023",MIL @ BKN,W,35,15,27,55.6%,1,7,14.3%,5,6,83.3%,2,10,12,3,1,2,3,1,36,15
Giannis Antetokounmpo,Bucks,"NOV 03, 2023",MIL vs. NYK,W,36,6,10,60.0%,3,3,100.0%,7,13,53.8%,1,7,8,6,0,1,7,3,22,13
Giannis Antetokounmpo,Bucks,"NOV 01, 2023",MIL @ TOR,L,28,5,11,45.5%,0,0,0.0%,6,9,66.7%,3,1,4,2,1,0,3,3,16,-10
Giannis Antetokounmpo,Bucks,"OCT 30, 2023",MIL vs. MIA,W,32,12,21,57.1%,1,3,33.3%,8,11,72.7%,1,6,7,2,0,1,2,3,33,18
Giannis Antetokounmpo,Bucks,"OCT 29, 2023",MIL vs. ATL,L,29,9,14,64.3%,0,1,0.0%,8,10,80.0%,5,6,11,3,1,2,3,2,26,-11
